molecule_number,int,Ar-,BOH3
72,-980.578469223,-728.014049941,
75,-583.570716190,-330.974665195,
81,-682.830018100,-430.236674547,
91,-698.115975737,-445.527107793,
28,-598.851794667,-346.252942668,
86,-881.328639896,-628.749196703,
96,-1158.52913257,-905.938298073,
98,-523.631614780,-271.031767917,
88,-782.089282874,-529.516214766,
89,-881.334254936,-628.764973057,
99,-943.919584138,-691.324800168,
73,-484.309783230,-231.711306115,
74,-583.574002244,-330.985732726,
90,-881.331588722,-628.768674488,
80,-682.823088694,-430.227708039,
97,-893.426636678,-640.838287162,
87,-782.085156366,-529.513937080,
78,-682.831214753,-430.244528713,
76,-583.569527234,-330.971680514,
71,-682.833847478,-430.258946063,
85,-782.075462819,-529.483089824,
95,-995.864549764,-743.296501594,
82,-782.078035933,-529.495212074,
92,-920.682988342,-668.098098381,
77,-682.827374088,-430.243240955,
94,-797.375661637,-544.800088684,
84,-782.082607163,-529.498584020,
93,-788.134231885,-535.552272163,
83,-782.084244640,-529.503203552,
79,-682.831950033,-430.246405301,
00,,,-252.544612170
