molecule_number,int,TS,H2O
62,-516.404469516,-592.831173174,
60,-478.279325585,-554.703620272,
56,-292.550342301,-368.964719881,
54,-330.633661196,-407.051563487,
55,-369.948332323,-446.360598309,
58,-487.919842906,-564.337662071,
63,-500.355617885,-576.779228252,
68,-478.290422643,-554.716650045,
50,-805.070607843,-881.496906118,
57,-409.258182916,-485.667880954,
66,-821.132095588,-897.567188288,
61,-576.777405216,-653.204896475,
52,-805.076415003,-881.508069691,
64,-500.356993181,-576.780525090,
65,-631.956896984,-708.379547905,
67,-517.600765454,-594.028890739,
51,-482.100609764,-558.528241782,
00,,,-76.4487444811
